Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Blizzard 1,S,5100,01:42.27,5100,0,0,0,40,0,0,3,1,0,0
Blizzard 1,S,11400,02:20.08,10400,0,1000,0,34,0,0,3,7,0,0
Blizzard 1,B,3600,02:21.50,3600,0,0,0,20,0,0,0,4,0,0
Blizzard 1,S,5800,02:22.57,5800,0,0,0,26,0,0,3,2,0,0
Blizzard 1,S,5100,02:26.30,4900,200,0,0,41,1,0,0,2,0,1
Blizzard 1,S,19500,02:44.88,16800,700,2000,0,37,2,0,6,4,0,1
Blizzard 1,A,4800,02:45.28,4600,200,0,0,34,1,0,1,3,0,1
Blizzard 1,A,5200,02:45.52,5200,0,0,0,40,0,0,2,0,0,0
Blizzard 1,S,10100,03:02.70,8700,400,1000,0,30,1,0,1,4,0,1
Blizzard 1,B,5200,03:09.48,5200,0,0,0,29,0,0,3,2,0,0
Blizzard 1,S,6800,03:12.03,6800,0,0,0,34,0,0,4,2,0,0
Blizzard 1,S,6800,03:21.21,6800,0,0,0,34,0,0,4,2,0,0
Blizzard 1,A,6800,03:25.64,6800,0,0,0,34,0,0,4,2,0,0
Blizzard 1,A,6800,03:31.61,6800,0,0,0,34,0,0,4,2,0,0
Blizzard 1,S,9700,03:45.05,8800,400,500,0,41,3,0,0,6,0,1
,,,,,,,,,,,,,,
Blizzard 2,B,2300,01:36.14,600,200,0,1500,6,1,0,0,0,0,1
Blizzard 2,S,9200,03:05.66,7400,300,0,1500,40,2,0,0,6,0,1
Blizzard 2,S,7700,03:13.72,6000,200,0,1500,45,1,0,3,0,0,1
Blizzard 2,S,10200,03:19.08,8300,400,0,1500,45,2,0,0,7,0,2
Blizzard 2,S,10900,03:22.46,9000,400,0,1500,45,2,0,0,6,0,2
Blizzard 2,S,14100,03:56.60,12000,300,0,1500,45,2,0,1,7,0,2
Blizzard 2,S,7600,03:58.44,5700,400,0,1500,40,2,0,0,2,0,2
Blizzard 2,S,9900,04:02.54,8000,400,0,1500,37,2,0,2,2,0,2
Blizzard 2,A,4200,04:25.60,2500,200,0,1500,10,1,0,0,2,0,1
Blizzard 2,S,10000,04:39.61,7800,700,0,1500,45,3,0,0,6,0,2
,,,,,,,,,,,,,,
Blizzard 3,S,4200,01:02.48,4200,0,0,0,28,0,0,0,3,0,0
Blizzard 3,C,1000,01:04.44,1000,0,0,0,10,0,0,0,0,0,0
Blizzard 3,S,5300,01:26.64,5100,200,0,0,27,1,0,0,3,0,1
Blizzard 3,S,5500,01:29.93,4900,600,0,0,34,1,0,0,2,0,1
Blizzard 3,A,3800,01:35.47,3800,0,0,0,28,0,0,2,0,0,0
Blizzard 3,S,4900,01:37.42,4700,200,0,0,34,1,0,0,4,0,1
Blizzard 3,S,4600,01:38.43,4400,200,0,0,31,1,1,2,0,0,1
Blizzard 3,S,6600,01:45.13,6600,0,0,0,34,0,0,4,0,0,0
Blizzard 3,A,4700,02:10.70,4500,200,0,0,34,1,0,2,1,0,1
Blizzard 3,S,6700,02:19.85,6600,100,0,0,34,1,0,2,3,0,0
Blizzard 3,B,4200,02:40.65,4000,200,0,0,34,1,0,2,0,0,1
,,,,,,,,,,,,,,
Blizzard 4,?,0,00:34.08,0,0,0,0,0,0,0,0,0,0,0
Blizzard 4,S,9600,02:09.42,8400,200,1000,0,29,1,0,0,6,0,1
Blizzard 4,S,12000,02:10.49,10300,200,1500,0,28,1,0,0,6,0,1
Blizzard 4,S,9800,02:17.92,8700,100,1000,0,28,1,0,0,6,0,0
Blizzard 4,S,11500,02:42.24,10300,200,1000,0,45,1,0,0,4,0,1
Blizzard 4,S,6600,02:48.17,6400,200,0,0,38,1,0,0,4,0,1
Blizzard 4,S,8100,02:50.75,7400,200,500,0,44,1,0,0,3,0,1
Blizzard 4,S,5900,02:55.72,5700,200,0,0,32,1,0,0,2,0,1
Blizzard 4,S,12800,03:11.07,11600,200,1000,0,29,1,0,0,5,0,1
Blizzard 4,S,8300,03:31.68,7600,200,500,0,26,1,0,0,4,0,1
Blizzard 4,S,11900,03:38.76,11200,200,500,0,45,1,0,3,1,0,1
Blizzard 4,S,9600,03:42.09,8000,100,1500,0,37,1,2,2,1,0,0
,,,,,,,,,,,,,,
Blizzard 5,?,13800,03:24.12,13300,0,500,0,71,0,0,5,0,0,0
Blizzard 5,S,13200,04:44.25,11400,800,1000,0,57,2,1,2,4,0,2
Blizzard 5,S,18200,05:05.31,18000,200,0,0,105,1,0,6,4,0,1
Blizzard 5,S,23600,06:04.03,21900,1200,500,0,109,5,0,3,5,3,5
Blizzard 5,S,8800,06:24.64,8100,200,500,0,32,1,0,2,3,0,1
Blizzard 5,S,10600,06:40.41,10100,500,0,0,64,3,0,2,3,0,2
Blizzard 5,S,13800,07:03.58,12800,1000,0,0,101,3,0,2,2,0,3
Blizzard 5,S,11800,07:57.36,11200,600,0,0,63,2,1,3,3,0,2
Blizzard 5,S,20500,11:39.04,18800,1200,500,0,110,6,0,3,6,2,4
,,,,,,,,,,,,,,
Blizzard 6,S,2700,00:41.18,0,0,0,2700,0,0,0,0,0,0,0
Blizzard 6,S,3600,00:41.00,0,0,0,3600,0,0,0,0,0,0,0
Blizzard 6,S,3000,01:02.86,0,0,0,3000,0,0,0,0,0,0,0
Blizzard 6,S,3300,01:29.76,0,0,0,3300,0,0,0,0,0,0,0
Blizzard 6,C,1800,01:53.95,0,0,0,1800,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Blizzard 7,C,8000,02:03.64,0,0,0,8000,0,0,0,0,0,0,0
Blizzard 7,S,10200,02:04.88,0,0,0,10200,0,0,0,0,0,0,0
Blizzard 7,S,10400,02:06.46,0,0,0,10400,0,0,0,0,0,0,0
Blizzard 7,S,11000,02:11.84,0,0,0,11000,0,0,0,0,0,0,0
Blizzard 7,C,8400,02:12.80,0,0,0,8400,0,0,0,0,0,0,0
Blizzard 7,S,10800,02:13.95,0,0,0,10800,0,0,0,0,0,0,0
Blizzard 7,S,12200,02:16.35,0,0,0,12200,0,0,0,0,0,0,0
Blizzard 7,A,11000,02:21.07,0,200,0,10800,0,1,0,0,0,0,1
Blizzard 7,S,12000,02:21.12,0,200,0,11800,0,1,0,0,0,0,1
,,,,,,,,,,,,,,
Blizzard 8,S,13700,03:22.57,13200,500,0,0,100,3,0,1,5,0,2
Blizzard 8,S,15200,03:25.04,15000,200,0,0,105,2,2,2,5,0,0
Blizzard 8,S,17500,03:38.75,16100,900,500,0,101,2,0,2,7,0,1
Blizzard 8,S,13800,03:41.90,12900,900,0,0,100,3,0,2,5,0,2
Blizzard 8,S,14200,04:08.22,13900,300,0,0,100,2,0,4,4,0,1
Blizzard 8,S,12400,04:34.44,12200,200,0,0,118,1,0,1,0,0,1
Blizzard 8,S,24300,05:55.08,22700,600,1000,0,118,4,0,6,8,2,2
Blizzard 8,S,15600,08:50.48,14600,500,500,0,109,3,0,2,4,1,2
Blizzard 8,A,15600,09:48.08,14600,500,500,0,109,3,0,2,4,1,2
