Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Circus 1,C,1900,01:46.00,1900,0,0,0,19,0,0,0,0,0,0
Circus 1,S,7000,01:56.75,6500,0,500,0,37,0,0,1,5,0,0
Circus 1,S,6300,02:33.61,5800,0,500,0,38,0,0,0,3,0,0
Circus 1,S,6300,02:38.09,6300,0,0,0,47,0,0,0,4,0,0
Circus 1,S,6300,02:50.09,6300,0,0,0,47,0,0,0,4,0,0
Circus 1,S,7700,03:01.88,7200,0,500,0,39,0,0,1,5,0,0
Circus 1,S,6100,03:03.92,5600,0,500,0,31,0,0,1,3,0,0
Circus 1,S,5100,03:05.98,4900,200,0,0,47,1,0,0,1,0,1
Circus 1,S,8900,03:18.97,8200,200,500,0,47,1,0,1,5,0,1
Circus 1,S,7400,03:20.41,7200,200,0,0,46,1,0,1,4,1,1
Circus 1,D,7400,03:20.41,7200,200,0,0,46,1,0,1,4,1,1
Circus 1,D,1000,04:09.95,1000,0,0,0,10,0,0,0,0,0,0
,,,,,,,,,,,,,,
Circus 2,B,3000,01:59.90,1500,0,0,1500,15,0,0,0,0,0,0
Circus 2,A,3600,03:12.09,2100,0,0,1500,15,0,0,0,1,0,0
Circus 2,S,6200,04:21.05,4300,400,0,1500,33,1,0,1,2,0,1
Circus 2,S,10000,04:33.28,8300,200,0,1500,60,2,0,3,2,2,0
Circus 2,S,11300,05:20.70,8800,1000,0,1500,76,4,0,2,0,1,4
Circus 2,S,8100,05:21.87,6300,300,0,1500,51,2,1,2,0,0,1
Circus 2,S,14200,05:47.82,11900,800,0,1500,94,3,0,5,0,0,3
Circus 2,S,13900,05:56.38,11700,700,0,1500,94,4,0,1,2,2,3
Circus 2,S,11200,06:56.00,9500,200,0,1500,92,2,0,1,0,0,0
,,,,,,,,,,,,,,
Circus 3,S,6400,01:43.60,6200,200,0,0,31,1,0,1,4,0,1
Circus 3,S,4500,01:48.89,4300,200,0,0,26,1,0,0,2,1,1
Circus 3,S,7500,01:50.81,7300,200,0,0,48,1,0,2,0,1,1
Circus 3,S,7400,01:52.76,7000,400,0,0,38,1,0,2,2,2,1
Circus 3,S,8000,01:57.18,7600,400,0,0,39,2,0,3,2,1,2
Circus 3,A,5300,02:29.15,5100,200,0,0,33,1,0,0,2,2,1
Circus 3,S,6800,02:47.29,6400,400,0,0,49,1,0,0,2,1,1
Circus 3,S,8300,02:48.51,8100,200,0,0,49,1,0,3,2,0,1
Circus 3,A,5800,02:54.46,5600,200,0,0,35,1,0,0,2,2,1
Circus 3,A,5900,02:58.91,570,200,0,0,36,1,0,0,2,2,1
Circus 3,B,6000,03:15.36,5800,200,0,0,37,1,0,0,2,2,1
Circus 3,S,14200,03:20.44,13000,200,1000,0,53,1,0,0,5,1,1
Circus 3,S,12500,03:28.27,11300,200,1000,0,49,1,0,0,6,2,1
Circus 3,S,15900,03:29.47,14200,200,1500,0,53,1,0,0,7,2,1
Circus 3,S,60300,03:30.89,55600,200,4500,0,98,1,0,2,13,0,1
,,,,,,,,,,,,,,
Circus 4,S,8600,02:13.04,8400,200,0,0,46,1,1,1,4,0,1
Circus 4,S,10600,03:10.51,10200,400,0,0,54,2,0,6,0,1,2
Circus 4,S,14800,03:18.49,14300,0,500,0,84,0,0,7,0,0,0
