Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Dino 1,B,1400,00:55.96,1400,0,0,0,14,0,0,0,0,0,0
Dino 1,S,2800,01:19.40,2800,0,0,0,22,0,0,1,1,0,0
Dino 1,B,1400,01:36.49,1400,0,0,0,14,0,0,0,0,0,0
Dino 1,S,4500,02:01.23,4500,0,0,0,27,0,1,3,0,0,0
Dino 1,S,4100,02:14.08,3900,200,0,0,36,1,0,0,1,0,1
Dino 1,S,4500,02:26.78,4500,0,0,0,29,0,0,2,2,0,0
Dino 1,S,4500,02:27.76,4500,0,0,0,37,0,0,2,0,0,0
Dino 1,S,5700,03:03.95,5500,200,0,0,37,1,0,3,1,0,1
Dino 1,S,7400,03:12.00,7200,200,0,0,37,1,0,2,3,0,1
Dino 1,B,3600,03:14.41,3600,0,0,0,22,0,0,2,1,0,0
,,,,,,,,,,,,,,
Dino 2,B,1800,03:32.43,100,200,0,1500,1,1,0,0,0,0,1
Dino 2,S,5500,04:39.69,3900,100,0,1500,33,1,0,2,0,0,0
Dino 2,S,4400,05:08.94,2300,600,0,1500,23,3,0,0,0,0,3
Dino 2,A,4500,05:39.31,2200,800,0,1500,19,4,0,1,0,0,4
Dino 2,S,4800,05:58.16,2700,600,0,1500,21,3,0,1,0,0,3
Dino 2,S,5600,06:25.60,3500,300,0,1500,20,3,0,2,0,0,3
Dino 2,S,5700,06:32.08,3600,600,0,1500,29,3,0,2,0,0,3
Dino 2,S,7900,06:43.58,6300,100,0,1500,53,1,0,1,2,0,0
Dino 2,S,11100,07:48.81,8600,1000,0,1500,53,5,0,4,2,2,5
Dino 2,A,6600,08:35.71,4300,800,0,1500,34,4,0,2,0,0,4
,,,,,,,,,,,,,,
Dino 3,S,18600,02:39.85,17800,300,500,0,99,2,0,5,2,0,1
Dino 3,S,21800,02:41.72,19700,110,1000,0,99,2,0,6,3,0,1
Dino 3,S,12400,02:52.72,12200,200,0,0,100,1,0,2,3,0,1
Dino 3,S,20000,03:27.07,19300,200,500,0,119,1,0,9,2,0,1
Dino 3,S,27600,03:49.72,25600,0,2000,0,96,0,0,8,5,0,0
Dino 3,S,15400,04:06.57,15200,200,0,0,100,1,0,5,2,0,1
Dino 3,S,18200,04:24.43,17500,200,500,0,107,1,1,6,2,0,1
Dino 3,S,21600,04:27.29,20900,200,500,0,138,1,0,13,1,0,1
Dino 3,S,18100,05:07.92,17700,400,0,0,124,3,1,4,3,0,1
,,,,,,,,,,,,,,
Dino 4,B,2300,01:38.14,2000,300,0,0,15,2,0,0,1,1,1
Dino 4,S,5400,01:45.48,5100,300,0,0,26,2,0,3,2,0,1
Dino 4,S,4000,02:03.60,3600,400,0,0,30,2,0,1,0,0,2
