Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Palace 1,S,13600,04:36.01,11800,300,0,1500,53,2,0,2,2,2,1
Palace 1,S,10300,04:53.44,8600,200,0,1500,50,1,0,3,0,2,1
Palace 1,S,13100,04:54.03,11400,200,0,1500,49,1,1,1,2,2,1
Palace 1,S,10000,04:57.71,8400,100,0,1500,53,1,0,3,2,2,0
Palace 1,S,8600,05:48.56,6900,200,0,1500,69,1,0,0,0,0,1
Palace 1,S,12500,05:48.81,10800,200,0,1500,69,1,0,6,0,0,1
Palace 1,S,12300,06:08.04,10600,200,0,1500,69,1,0,3,3,0,1
Palace 1,S,15300,06:34.01,12900,400,500,1500,57,3,1,2,2,2,1
Palace 1,S,14100,06:55.08,12000,600,0,1500,69,3,0,5,0,1,3
Palace 1,S,14200,07:54.38,11300,1400,0,1500,69,6,0,6,3,0,4
Palace 1,C,2900,09:21.71,1200,200,0,1500,12,1,0,0,0,0,1
,,,,,,,,,,,,,,
Palace 2,S,5900,01:52.72,5700,200,0,0,28,1,0,0,2,3,1
Palace 2,S,9700,01:53.56,9200,0,500,0,48,0,0,4,1,0,0
Palace 2,S,5600,01:59.18,5400,200,0,0,30,1,0,0,1,3,1
Palace 2,A,4100,02:17.64,3900,20,0,0,29,1,0,1,1,1,1
Palace 2,S,5600,02:21.05,5400,200,0,0,29,1,0,0,1,3,1
Palace 2,S,7700,02:32.24,7300,400,0,0,49,2,0,0,2,1,2
Palace 2,S,6700,02:37.82,6500,200,0,0,49,1,0,2,1,1,1
Palace 2,C,3300,02:43.10,3200,100,0,0,26,1,0,1,1,0,0
Palace 2,A,6000,02:50.94,5800,200,0,0,49,1,0,1,2,0,1
Palace 2,S,8400,02:59.55,8200,200,0,0,49,1,0,2,2,2,1
Palace 2,B,5600,03:29.79,5400,200,0,0,43,2,0,2,1,0,0
Palace 2,S,9000,03:39.39,7900,600,500,0,36,3,0,0,2,4,3
,,,,,,,,,,,,,,
Palace 3,S,6900,01:49.36,6400,0,500,0,37,0,0,3,0,0,0
Palace 3,A,2800,01:54.56,2800,0,0,0,17,0,0,1,2,0,0
Palace 3,S,5500,01:59.98,5500,0,0,0,37,0,0,3,0,0,0
Palace 3,S,7800,02:12.36,7300,0,500,0,37,0,0,5,0,0,0
Palace 3,S,4800,02:26.27,4600,200,0,0,28,1,0,2,3,0,1
Palace 3,S,5400,02:27.32,5200,200,0,0,37,1,0,2,0,0,1
Palace 3,S,4900,02:55.82,4700,200,0,0,37,1,0,3,0,0,1
Palace 3,S,6400,02:55.93,6100,300,0,0,36,2,0,4,1,0,1
,,,,,,,,,,,,,,
Palace 4,S,13900,03:54.65,13700,200,0,0,102,1,0,5,1,0,1
Palace 4,S,18200,03:55.76,18000,200,0,0,114,1,0,7,3,1,1
Palace 4,S,15100,03:56.16,14700,400,0,0,103,2,0,5,2,1,2
Palace 4,S,21400,04:08.40,20400,0,1000,0,116,0,0,10,1,0,0
Palace 4,S,27900,04:16.65,25000,400,2500,0,109,2,0,7,7,0,2
Palace 4,S,14700,04:27.50,14500,200,0,0,124,1,0,5,0,0,1
Palace 4,S,23500,04:37.60,22000,500,1000,0,110,3,0,8,6,0,2
Palace 4,S,16400,05:05.10,15800,600,0,0,106,3,0,6,2,0,3
,,,,,,,,,,,,,,
Palace 5,C,2900,03:58.54,2700,200,0,0,27,1,0,0,0,0,1
Palace 5,S,8900,04:42.20,8600,300,0,0,48,2,2,3,0,3,1
Palace 5,S,6700,05:35.42,6500,200,0,0,62,2,0,1,0,0,0
Palace 5,S,10000,06:06.25,9800,200,0,0,62,1,0,4,2,1,1
Palace 5,S,10200,06:25.24,9300,900,0,0,52,5,1,5,0,2,1
Palace 5,S,7100,06:28.43,6800,300,0,0,43,2,0,1,1,3,1
Palace 5,S,6800,06:28.64,6500,300,0,0,46,2,0,1,2,0,1
Palace 5,B,3700,06:31.47,3600,100,0,0,21,1,0,3,0,0,0
Palace 5,S,8100,06:44.24,7800,300,0,0,62,2,0,4,1,0,1
Palace 5,C,2300,06:45.10,2100,200,0,0,21,1,0,0,0,0,1
Palace 5,S,8200,06:51.26,8000,200,0,0,68,1,0,2,0,0,1
Palace 5,S,6500,08:11.80,6300,200,0,0,35,1,0,0,0,2,1
,,,,,,,,,,,,,,
Palace 6,S,3600,01:28.86,3600,0,0,0,24,0,0,3,0,0,0
Palace 6,S,5800,01:30.64,5800,0,0,0,25,0,0,5,0,0,0
Palace 6,S,4100,02:04.80,4100,0,0,0,29,0,0,3,0,0,0
Palace 6,S,8100,02:15.92,7900,200,0,0,38,1,1,4,0,0,1
Palace 6,S,5300,02:20.59,4900,400,0,0,38,2,0,3,0,0,2
Palace 6,S,4200,02:29.96,4200,0,0,0,30,0,0,3,0,0,0
Palace 6,S,5300,02:46.57,4900,400,0,0,38,2,0,3,0,0,2
Palace 6,S,6100,02:49.39,5900,200,0,0,36,1,1,3,0,0,1
Palace 6,S,8100,03:03.66,8100,0,0,0,58,0,0,4,1,0,0
Palace 6,S,7300,03:11.58,7100,200,0,0,38,1,2,2,0,0,1
Palace 6,S,6100,04:01.12,6100,0,0,0,53,0,0,2,1,0,0
Palace 6,S,7100,04:01.42,7100,0,0,0,52,0,1,4,0,0,0
Palace 6,S,8300,04:22.52,8200,100,0,0,53,1,0,4,1,0,0
,,,,,,,,,,,,,,
Palace 7,A,8100,02:04.44,100,0,0,8000,1,0,0,0,0,0,0
Palace 7,S,12700,02:11.02,2900,0,0,9800,15,0,0,2,1,0,0
Palace 7,S,11300,02:12.20,300,0,0,11000,3,0,0,0,0,0,0
Palace 7,S,13100,02:16.51,300,0,0,12800,3,0,0,0,0,0,0
Palace 7,S,12300,02:21.28,700,0,0,11600,7,0,0,0,0,0,0
Palace 7,S,11700,02:21.55,300,0,0,11400,3,0,0,0,0,0,0
Palace 7,A,11000,02:50.16,1000,0,0,10000,10,0,0,0,0,0,0
Palace 7,B,10900,02:59.40,1300,0,0,9600,9,0,0,0,1,0,0
Palace 7,S,13800,03:04.20,1800,0,0,12000,15,0,0,1,0,0,0
Palace 7,S,12700,03:07.82,2300,0,0,10400,17,0,0,1,0,0,0
Palace 7,S,13100,03:15.63,2100,0,0,11000,17,0,0,1,0,0,0
,,,,,,,,,,,,,,
Palace 8,S,15600,03:11.87,15600,0,0,0,99,0,0,2,6,0,0
Palace 8,S,20100,03:30.14,20100,0,0,0,144,0,0,8,0,0,0
Palace 8,S,18900,03:49.55,18900,0,0,0,102,0,1,7,7,0,0
Palace 8,S,18200,03:49.82,18000,200,0,0,105,1,2,5,4,0,1
Palace 8,S,19800,03:58.20,18800,0,1000,0,118,0,0,5,7,0,0
Palace 8,S,17200,04:01.71,17200,0,0,0,104,0,1,5,8,0,0
Palace 8,S,23600,04:26.88,22000,600,1000,0,108,2,1,6,6,3,2
Palace 8,S,24800,04:43.39,24300,0,500,0,144,0,0,9,7,0,0
Palace 8,S,19600,05:01.52,18900,200,500,0,106,1,0,8,6,0,1
Palace 8,C,8200,05:36.57,8200,0,0,0,46,0,0,2,4,0,0
Palace 8,S,18700,06:42.28,18600,100,0,0,132,1,0,5,6,0,0
