Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Pirate 1,S,3100,01:06.72,3100,0,0,0,15,0,0,0,3,0,0
Pirate 1,S,4800,01:13.39,4100,200,500,0,17,1,0,0,3,0,1
Pirate 1,S,3300,01:30.62,3300,0,0,0,23,0,0,0,3,0,0
Pirate 1,S,3400,01:32.67,3400,0,0,0,17,0,0,2,0,0,0
Pirate 1,S,2900,01:32.72,2900,0,0,0,23,0,0,0,2,0,0
Pirate 1,S,3800,01:35.60,3800,0,0,0,23,0,0,0,3,0,0
Pirate 1,S,3500,01:36.46,3500,0,0,0,23,0,0,0,3,0,0
Pirate 1,S,2800,01:44.70,2800,0,0,0,16,0,0,0,2,0,0
Pirate 1,S,6900,01:55.31,5700,200,1000,0,14,1,0,1,4,0,1
Pirate 1,S,3300,01:58.30,3300,0,0,0,22,0,0,1,2,0,0
Pirate 1,S,5200,02:01.92,4500,200,500,0,13,1,0,1,3,0,1
Pirate 1,A,2500,02:05.34,2500,0,0,0,19,0,0,0,2,0,0
Pirate 1,S,2800,02:05.69,2800,0,0,0,16,0,0,0,2,0,0
Pirate 1,A,2800,02:06.65,2800,0,0,0,16,0,0,0,2,0,0
Pirate 1,A,2500,02:09.53,2300,200,0,0,18,1,0,1,1,0,1
Pirate 1,A,2800,02:30.40,2800,0,0,0,13,0,0,0,2,0,0
,,,,,,,,,,,,,,
Pirate 2,B,1600,01:26.32,100,0,0,1500,1,0,0,0,0,0,0
Pirate 2,S,3700,02:14.08,1800,400,0,1500,14,2,0,1,0,0,2
Pirate 2,A,1800,02:19.92,300,0,0,1500,3,0,0,0,0,0,0
Pirate 2,S,6800,03:25.76,4500,800,0,1500,33,3,0,2,1,0,3
Pirate 2,S,7100,03:44.32,5200,400,0,1500,42,2,0,1,3,0,2
Pirate 2,S,7700,03:46.19,5600,600,0,1500,42,3,0,0,4,0,3
Pirate 2,S,5900,03:58.94,5900,700,0,1500,36,4,0,1,3,2,3
Pirate 2,S,6900,04:11.88,4800,600,0,1500,37,3,0,3,0,0,3
Pirate 2,A,5400,04:24.36,3100,800,0,1500,21,4,0,2,1,0,4
Pirate 2,S,7700,04:28.86,5200,1000,0,1500,35,6,0,1,2,0,4
Pirate 2,S,6600,04:34.09,4300,800,0,1500,35,4,0,0,3,0,4
Pirate 2,D,2000,06:26.56,500,0,0,1500,5,0,0,0,0,0,0
,,,,,,,,,,,,,,
Pirate 3,S,9000,1:04.16,0,0,0,9000,0,0,0,0,0,0,0
Pirate 3,S,10500,01:04.48,0,0,0,10500,0,0,0,0,0,0,0
Pirate 3,S,9600,01:06.80,0,0,0,9600,0,0,0,0,0,0,0
Pirate 3,S,7800,01:09.18,0,0,0,7800,0,0,0,0,0,0,0
Pirate 3,S,6300,01:13.98,0,0,0,6300,0,0,0,0,0,0,0
Pirate 3,S,9300,01:14.48,0,0,0,9300,0,0,0,0,0,0,0
Pirate 3,S,8100,01:23.68,0,0,0,8100,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Pirate 4,S,5000,02:07.29,5000,0,0,0,44,0,0,0,2,0,0
Pirate 4,S,6500,02:08.48,6400,100,0,0,44,1,0,3,2,0,0
Pirate 4,S,5100,02:12.80,5000,100,0,0,42,1,0,2,0,0,0
Pirate 4,A,3800,02:26.78,3700,100,0,0,37,1,0,0,0,0,0
Pirate 4,S,7100,02:37.50,6100,500,500,0,35,2,0,2,4,0,1
Pirate 4,S,6400,02:45.45,6400,0,0,0,43,0,0,1,3,0,0
Pirate 4,S,7400,02:55.39,7100,300,0,0,45,2,0,2,2,0,1
Pirate 4,A,4300,03:10.20,4200,100,0,0,36,1,0,0,2,0,0
Pirate 4,S,8800,03:22.44,7700,600,500,0,41,3,0,3,4,0,3
Pirate 4,A,5900,04:16.70,5700,200,0,0,42,2,0,2,2,0,0
,,,,,,,,,,,,,,
Pirate 5,S,4100,01:32.59,4100,4000,100,0,0,29,1,0,3,0,0
Pirate 5,S,3000,01:57.66,3000,0,0,0,30,0,0,0,0,0,0
Pirate 5,S,3000,02:04.36,3000,0,0,0,30,0,0,0,0,0,0
Pirate 5,S,3400,02:06.22,3400,0,0,0,30,0,0,0,2,0,0
