Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Sand 1,S,9100,01:48.16,8100,0,1000,0,35,0,0,1,5,0,0
Sand 1,S,7900,01:52.57,7700,200,0,0,37,1,0,2,2,0,1
Sand 1,S,7400,02:22.01,7000,400,0,0,34,2,0,2,1,0,2
Sand 1,S,7700,02:22.46,7300,400,0,0,37,3,0,3,1,0,1
Sand 1,S,8400,02:43.23,7600,800,0,0,36,2,0,3,1,0,2
Sand 1,D,0,03:09.96,0,0,0,0,0,0,0,0,0,0,0
Sand 1,S,15600,03:35.32,13500,600,1500,0,55,3,3,0,5,1,3
Sand 1,S,10000,03:43.58,9600,400,0,0,61,3,0,4,1,0,1
Sand 1,S,6900,03:44.70,6800,100,0,0,61,1,0,2,0,0,0
Sand 1,S,11700,03:59.08,11300,400,0,0,61,2,0,2,3,0,2
,,,,,,,,,,,,,,
Sand 2,S,7100,04:25.47,5400,200,0,1500,31,1,0,1,2,0,1
Sand 2,S,7500,05:11.39,5800,200,0,1500,42,1,1,1,1,0,1
Sand 2,S,8800,05:34.57,7300,0,0,1500,53,0,0,3,1,0,0
Sand 2,S,8500,06:46.20,6300,200,500,1500,39,1,0,0,3,0,1
Sand 2,S,10000,06:53.37,7900,100,500,1500,43,1,0,0,4,0,0
Sand 2,S,10200,07:17.58,8100,600,0,1500,52,4,0,0,3,0,2
Sand 2,S,10500,07:34.03,8700,300,0,1500,45,2,1,2,4,0,1
Sand 2,S,10300,07:41.44,7900,900,0,1500,48,6,0,1,4,0,3
Sand 2,S,10200,07:49.90,8200,500,0,1500,47,3,0,1,4,0,2
Sand 2,A,7400,07:55.02,5500,400,0,1500,34,2,0,1,2,0,2
Sand 2,S,14000,08:14.83,10800,700,1000,1500,57,4,0,2,5,0,3
Sand 2,A,8300,08:16.09,6400,400,0,1500,59,2,0,0,1,0,2
Sand 2,C,5100,09:14.78,3400,200,0,1500,24,1,0,1,1,0,1
,,,,,,,,,,,,,,
Sand 3,B,2200,01:40.00,2000,200,0,0,15,1,0,1,0,0,1
Sand 3,C,900,01:49.40,900,0,0,0,9,0,0,0,0,0,0
Sand 3,S,4000,02:20.16,4000,0,0,0,27,0,0,3,0,0,0
Sand 3,S,4200,02:31.31,4000,200,0,0,27,1,0,3,0,0,1
Sand 3,S,4500,02:40.88,4300,200,0,0,29,1,0,2,1,0,1
Sand 3,S,4100,03:03.18,3600,500,0,0,27,2,0,3,0,0,1
Sand 3,S,5600,03:06.43,5400,200,0,0,35,1,0,4,0,0,1
Sand 3,S,6600,03:11.32,6600,0,0,0,44,0,0,5,0,0,0
Sand 3,S,4000,03:32.65,4000,0,0,0,26,0,1,2,0,0,0
Sand 3,S,6500,03:40.75,6500,0,0,0,52,0,0,3,0,0,0
Sand 3,S,9000,04:19.95,8700,300,0,0,45,2,0,7,0,0,1
,,,,,,,,,,,,,,
Sand 4,S,10800,02:02.78,2800,0,0,8000,25,0,0,0,1,0,0
Sand 4,S,10600,02:03.87,200,0,0,10400,2,0,0,0,0,0,0
Sand 4,S,12700,02:05.07,1900,0,0,10800,10,0,0,0,2,0,0
Sand 4,S,11800,02:05.13,2600,0,0,9200,8,0,0,0,2,0,0
Sand 4,S,11600,02:06.75,600,0,0,11000,6,0,0,0,0,0,0
Sand 4,S,11200,02:06.96,1600,0,0,9600,10,0,0,0,1,0,0
Sand 4,S,10700,02:07.72,1500,0,0,9200,9,0,0,0,1,0,0
Sand 4,A,10000,02:08.56,1800,0,0,8200,9,0,0,0,2,0,0
Sand 4,S,13300,02:10.11,2600,100,0,10600,11,1,0,2,0,0,0
Sand 4,A,9700,02:11.12,500,0,0,9200,5,0,0,0,0,0,0
Sand 4,S,13500,02:14.59,1500,0,0,12000,15,0,0,0,0,0,0
Sand 4,B,10500,02:30.09,300,0,0,10200,3,0,0,0,0,0,0
Sand 4,C,11900,03:09.55,900,0,0,11000,9,0,0,0,0,0,0
,,,,,,,,,,,,,,
Sand 5,S,8300,04:26.70,8100,200,0,0,57,2,0,4,2,0,0
Sand 5,S,7500,04:29.05,7000,500,0,0,48,3,1,3,0,0,2
Sand 5,S,7600,04:31.93,7200,400,0,0,45,2,2,2,0,0,2
Sand 5,A,6700,05:15.60,6100,600,0,0,44,3,0,2,0,1,3
Sand 5,S,9100,05:24.33,8900,200,0,0,63,1,2,4,0,0,1
Sand 5,A,7200,05:25.04,6800,400,0,0,55,3,1,2,0,0,1
Sand 5,A,7100,05:29.92,6500,600,0,0,44,3,0,3,0,0,3
Sand 5,S,10000,05:34.80,9600,400,0,0,67,2,0,6,0,0,2
Sand 5,S,8900,05:46.27,8700,200,0,0,74,1,0,4,0,0,1
Sand 5,S,10000,05:48.25,9800,200,0,0,56,1,1,6,0,0,1
Sand 5,S,9700,07:11.05,9300,400,0,0,71,2,0,3,1,0,2
Sand 5,C,2500,07:23.68,2300,200,0,0,20,1,0,1,0,0,1
Sand 5,S,10800,08:29.53,9400,1400,0,0,69,9,0,5,1,0,5
Sand 5,B,5300,08:33.23,5100,200,0,0,40,1,1,2,0,0,1
Sand 5,S,8800,08:42.52,8300,500,0,0,71,3,0,3,0,0,2
,,,,,,,,,,,,,,
Sand 6,S,15100,02:21.08,15100,0,0,0,102,0,0,9,2,0,0
Sand 6,S,15500,02:46.57,15300,200,0,0,96,1,0,5,4,0,1
Sand 6,S,16200,02:59.47,16000,200,0,0,111,1,0,2,6,0,1
Sand 6,S,15600,03:57.31,15100,0,500,0,105,0,0,7,0,0,0
Sand 6,S,16500,04:09.24,16400,100,0,0,119,1,0,8,0,0,0
Sand 6,S,19600,04:43.47,17100,1000,1500,0,102,2,0,7,0,0,2
,,,,,,,,,,,,,,
Sand 7,C,1500,01:17.02,1500,0,0,0,15,0,0,0,0,0,0
Sand 7,S,10600,02:39.44,10000,100,500,0,55,1,0,2,6,0,0
Sand 7,S,6800,02:46.76,6600,200,0,0,37,1,0,2,3,0,1
Sand 7,S,4900,02:48.00,4900,0,0,0,33,0,0,0,3,0,0
Sand 7,A,4300,02:51.28,4300,0,0,0,27,0,0,0,3,0,0
Sand 7,S,7200,02:53.00,6700,0,500,0,35,0,1,1,4,0,0
Sand 7,S,6100,03:03.28,6100,0,0,0,31,0,0,0,6,0,0
Sand 7,S,7800,03:19.68,7600,200,0,0,61,1,0,2,2,0,1
Sand 7,S,6100,03:30.70,6100,0,0,0,31,0,0,0,6,0,0
Sand 7,S,6800,03:37.53,6800,0,0,0,59,0,0,0,4,0,0
Sand 7,A,6100,03:55.20,6100,0,0,0,31,0,0,0,6,0,0
Sand 7,A,6100,04:00.44,6100,0,0,0,31,0,0,0,6,0,0
Sand 7,S,7400,04:04.35,7200,200,0,0,45,1,0,0,6,0,1
Sand 7,S,7700,04:30.27,7200,500,0,0,59,2,0,4,0,0,1
Sand 7,A,9200,05:52.40,8300,900,0,0,48,5,0,1,6,0,2
,,,,,,,,,,,,,,
Sand 8,S,3600,01:05.24,0,0,0,3600,0,0,0,0,0,0,0
Sand 8,S,2100,01:08.22,0,0,0,2100,0,0,0,0,0,0,0
Sand 8,S,5700,01:11.04,0,0,0,5700,0,0,0,0,0,0,0
Sand 8,S,3900,01:21.20,0,0,0,3900,0,0,0,0,0,0,0
